time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-25 00:00:00+00:00,3,3,,
2021-08-26 00:00:00+00:00,7,7,,
2021-08-27 00:00:00+00:00,6,6,,
2021-08-28 00:00:00+00:00,3,3,,
2021-08-29 00:00:00+00:00,4,4,,
2021-08-30 00:00:00+00:00,3,3,,
2021-08-31 00:00:00+00:00,2,2,1.0,1.0
2021-09-01 00:00:00+00:00,1,1,,
2021-09-02 00:00:00+00:00,4,4,,
2021-09-03 00:00:00+00:00,1,1,,
2021-09-04 00:00:00+00:00,5,5,9.0,1.0
2021-09-05 00:00:00+00:00,4,4,,
2021-09-06 00:00:00+00:00,3,3,45.0,1.0
2021-09-07 00:00:00+00:00,5,5,32.0,1.0
